time_taken,plan_mem,mem_avg,mem_max,plan_cpu,cpu_avg,cpu_max,total_cpu
10,0.3,0.07,0.09,50.0,30.0,103.0,300.0
12,0.39,0.2,0.2,100.0,2.0,21.0,24.0
13,0.39,0.04,0.05,100.0,2.0,52.0,26.0
38,0.39,0.19,0.19,100.0,4.0,77.0,152.0
31,0.2,0.16,0.16,100.0,4.0,83.0,124.0
15,0.39,0.29,0.31,50.0,39.0,89.0,585.0
15,0.39,0.34,0.35,100.0,19.0,54.0,285.0
14,0.49,0.02,0.03,100.0,40.0,150.0,560.0
10,0.3,0.05,0.06,100.0,70.0,107.0,700.0
11,0.39,0.08,0.08,100.0,2.0,70.0,22.0
10,0.2,0.04,0.06,50.0,8.0,112.0,80.0
28,0.39,0.16,0.21,100.0,98.0,180.0,2744.0
23,0.2,0.04,0.12,50.0,14.0,103.0,322.0
37,0.59,0.16,0.17,100.0,40.0,428.0,1480.0
75,0.2,0.07,0.08,50.0,4.0,93.0,300.0
14,0.39,0.07,0.09,100.0,37.0,100.0,518.0
81,0.2,0.03,0.04,50.0,3.0,95.0,243.0
81,0.2,0.02,0.02,50.0,4.0,93.0,324.0
57,0.2,0.02,0.02,50.0,2.0,79.0,114.0
17,0.39,0.14,0.14,50.0,24.0,74.0,408.0
14,0.39,0.09,0.1,100.0,8.0,47.0,112.0
82,0.59,0.06,0.06,100.0,6.0,151.0,492.0
82,0.3,0.06,0.06,100.0,83.0,158.0,6806.0
82,0.69,0.02,0.02,100.0,5.0,140.0,410.0
82,0.69,0.03,0.03,100.0,5.0,143.0,410.0
10,0.39,0.06,0.06,100.0,3.0,80.0,30.0
11,0.39,0.02,0.02,100.0,6.0,36.0,66.0
14,0.3,0.13,0.15,50.0,34.0,109.0,476.0
115,0.39,0.06,0.06,100.0,2.0,50.0,230.0
115,0.49,0.02,0.02,100.0,1.0,100.0,115.0
52,0.2,0.03,0.03,50.0,0.0,21.0,0.0
113,0.2,0.04,0.04,50.0,2.0,63.0,226.0
21,0.39,0.02,0.02,100.0,1.0,21.0,21.0
21,0.3,0.02,0.02,100.0,28.0,61.0,588.0
12,0.39,0.06,0.06,100.0,2.0,77.0,24.0
20,0.49,0.2,0.32,100.0,83.0,480.0,1660.0
12,0.2,0.11,0.12,50.0,20.0,97.0,240.0
163,0.59,0.14,0.46,50.0,42.0,290.0,6846.0
177,0.3,0.09,0.25,50.0,19.0,259.0,3363.0
14,0.39,0.07,0.07,100.0,1.0,25.0,14.0
13,0.25,0.03,0.03,100.0,21.0,55.0,273.0
78,0.2,0.07,0.07,50.0,1.0,92.0,78.0
78,0.2,0.02,0.02,50.0,1.0,65.0,78.0
19,0.39,0.03,0.03,100.0,1.0,70.0,19.0
27,0.2,0.03,0.1,50.0,1.0,93.0,27.0
26,0.2,0.02,0.02,50.0,2.0,62.0,52.0
26,0.2,0.16,0.16,50.0,2.0,73.0,52.0
26,0.2,0.02,0.02,50.0,3.0,73.0,78.0
26,0.2,0.02,0.02,50.0,2.0,59.0,52.0
26,0.2,0.06,0.06,50.0,5.0,90.0,130.0
26,0.2,0.02,0.02,50.0,5.0,79.0,130.0
26,0.2,0.02,0.02,50.0,2.0,54.0,52.0
26,0.2,0.02,0.02,50.0,2.0,68.0,52.0
14,0.2,0.12,0.14,100.0,69.0,76.0,966.0
21,0.2,0.05,0.12,50.0,17.0,101.0,357.0
45,0.39,0.02,0.03,50.0,23.0,128.0,1035.0
45,0.2,0.15,0.15,50.0,1.0,44.0,45.0
44,0.2,0.07,0.07,50.0,1.0,20.0,44.0
43,0.2,0.02,0.02,50.0,1.0,38.0,43.0
19,0.2,0.02,0.02,50.0,3.0,200.0,57.0
19,0.2,0.06,0.06,50.0,2.0,48.0,38.0
19,0.2,0.02,0.02,50.0,3.0,85.0,57.0
14,0.39,0.07,0.22,100.0,32.0,145.0,448.0
29,0.15,0.09,0.09,50.0,1.0,31.0,29.0
22,0.15,0.07,0.07,50.0,4.0,57.0,88.0
28,0.15,0.02,0.02,50.0,2.0,45.0,56.0
28,0.15,0.02,0.02,50.0,1.0,46.0,28.0
22,0.15,0.07,0.07,50.0,3.0,40.0,66.0
28,0.15,0.02,0.02,50.0,1.0,94.0,28.0
29,0.2,0.08,0.08,50.0,1.0,22.0,29.0
22,0.15,0.07,0.07,50.0,2.0,100.0,44.0
29,0.15,0.08,0.08,50.0,1.0,61.0,29.0
28,0.15,0.02,0.02,50.0,2.0,45.0,56.0
29,0.15,0.04,0.04,50.0,1.0,61.0,29.0
65,0.2,0.03,0.03,50.0,2.0,74.0,130.0
15,0.59,0.03,0.12,100.0,6.0,49.0,90.0
15,0.39,0.19,0.22,100.0,3.0,66.0,45.0
13,0.39,0.02,0.02,100.0,2.0,73.0,26.0
17,0.2,0.05,0.06,50.0,7.0,95.0,119.0
16,0.2,0.05,0.05,50.0,4.0,85.0,64.0
16,0.2,0.09,0.09,50.0,4.0,100.0,64.0
16,0.2,0.04,0.04,50.0,4.0,91.0,64.0
16,0.2,0.06,0.06,50.0,7.0,91.0,112.0
17,0.2,0.07,0.07,50.0,10.0,82.0,170.0
17,0.2,0.05,0.05,50.0,5.0,65.0,85.0
16,0.2,0.05,0.06,50.0,8.0,54.0,128.0
16,0.2,0.03,0.03,50.0,5.0,75.0,80.0
16,0.2,0.05,0.05,50.0,4.0,112.0,64.0
