priority,resource request for CPU cores,resource request for RAM,resource request for local disk space,Count,Probablity,normalised CPU cores,normalised RAM,normalised Disk Space
0,0.0006247000000000001,0.003109,1.526e-05,2449,0.00015095197440436378,1.0,20.006435006435005,16.000838838209077
0,0.0006247000000000001,0.003109,3.052e-05,2264,0.0001395489056968067,1.0,20.006435006435005,32.001677676418154
0,0.001249,0.01553,3.815e-05,5515,0.0003399347239036612,1.9993596926524728,99.93564993564993,40.0020970955227
0,0.001249,0.0159,3.815e-05,2848,0.00017554561988714906,1.9993596926524728,102.31660231660231,40.0020970955227
0,0.001249,0.02332,3.815e-05,7070,0.00043578213925637077,1.9993596926524728,150.06435006435007,40.0020970955227
0,0.001249,0.05566,0.0001545,9790,0.0006034380683620749,1.9993596926524728,358.17245817245816,162.00062912865678
0,0.003124,0.0017399999999999998,4.768e-06,8731,0.0005381632047874644,5.000800384184408,11.196911196911195,4.999475726119324
0,0.003124,0.001987,4.768e-06,21574,0.0013297827259288462,5.000800384184408,12.786357786357787,4.999475726119324
0,0.003124,0.002239,4.768e-06,1053,6.490503431923032e-05,5.000800384184408,14.407979407979408,4.999475726119324
0,0.003124,0.0159,9.537e-06,19496,0.0012016985271488267,5.000800384184408,102.31660231660231,10.0
0,0.003124,0.0159,0.0004635,4683,0.0002886517338242693,5.000800384184408,102.31660231660231,486.0018873859704
0,0.003124,0.0874,0.000309,50103,0.003088259197052609,5.000800384184408,562.4195624195625,324.00125825731357
0,0.006248,0.0015539999999999998,9.537e-06,41763,0.002574196532074089,10.001600768368816,9.999999999999998,10.0
0,0.006248,0.0015539999999999998,1.526e-05,2015,0.00012420099159852718,10.001600768368816,9.999999999999998,16.000838838209077
0,0.006248,0.002144,9.537e-06,1086,6.693909522382159e-05,10.001600768368816,13.796653796653796,10.0
0,0.006248,0.002159,9.537e-06,1721,0.00010607935808489591,10.001600768368816,13.893178893178892,10.0
0,0.006248,0.002174,9.537e-06,1249,7.698612332831784e-05,10.001600768368816,13.98970398970399,10.0
0,0.006248,0.002254,1.907e-05,1100,6.780203015304213e-05,10.001600768368816,14.504504504504503,19.995805808954596
0,0.006248,0.002331,9.537e-06,1490,9.184093175275706e-05,10.001600768368816,15.0,10.0
0,0.006248,0.002346,9.537e-06,1331,8.204045648518097e-05,10.001600768368816,15.096525096525095,10.0
0,0.006248,0.002361,9.537e-06,1386,8.543055799283308e-05,10.001600768368816,15.19305019305019,10.0
0,0.006248,0.002377,9.537e-06,1100,6.780203015304213e-05,10.001600768368816,15.296010296010296,10.0
0,0.006248,0.002392,9.537e-06,1489,9.177929354352703e-05,10.001600768368816,15.392535392535391,10.0
0,0.006248,0.002407,9.537e-06,1400,8.629349292205362e-05,10.001600768368816,15.489060489060487,10.0
0,0.006248,0.002422,9.537e-06,1679,0.0001034905532972343,10.001600768368816,15.585585585585585,10.0
0,0.006248,0.002438,9.537e-06,2894,0.00017838097751173083,10.001600768368816,15.688545688545688,10.0
0,0.006248,0.002457,9.537e-06,1608,9.911424044190158e-05,10.001600768368816,15.81081081081081,10.0
0,0.006248,0.002472,9.537e-06,1487,9.165601712506695e-05,10.001600768368816,15.907335907335906,10.0
0,0.006248,0.002487,9.537e-06,1345,8.29033914144015e-05,10.001600768368816,16.003861003861005,10.0
0,0.006248,0.002937,7.629e-06,2351,0.00014491142989982004,10.001600768368816,18.899613899613897,7.9993708713431895
0,0.006248,0.003109,0.0003862,13911,0.0008574491285990628,10.001600768368816,20.006435006435005,404.9491454335745
0,0.006248,0.003681,3.815e-05,2068,0.0001274678166877192,10.001600768368816,23.687258687258684,40.0020970955227
0,0.006248,0.003696,3.815e-05,1015,6.256278236848887e-05,10.001600768368816,23.783783783783782,40.0020970955227
0,0.006248,0.003746,3.815e-05,1035,6.379554655308963e-05,10.001600768368816,24.105534105534105,40.0020970955227
0,0.006248,0.003746,0.0003862,1355,8.35197735067019e-05,10.001600768368816,24.105534105534105,404.9491454335745
